gene	votu_id	dataset	Family	VFC	VC60	VC65	VC70	VC71	VC72	VC73	VC74	VC75	VC76	VC77	VC78	VC79	VC80	VC85	VC90	VC95	PC	itol_label	itol_color
TLL33_opera_contig_581_15	TLL33_opera_contig_581	SPMP		8	1129	986	845	816	789	763	736	712	682	657	636	617	589	477	343	204	290	8_1129	#ffd8b1
TLL17_opera_contig_727_11	TLL17_opera_contig_727	SPMP		8	1129	986	845	816	789	763	736	712	682	657	636	617	589	477	343	204	290	8_1129	#ffd8b1
TLL65_opera_contig_110147_provirus_1_17252_11	TLL65_opera_contig_110147_provirus_1_17252	SPMP		8	1129	986	845	816	789	763	736	712	682	657	636	617	589	477	343	204	290	8_1129	#ffd8b1
MZ130497_29	MZ130497	ICTV	Suoliviridae	67	467	404	331	322	311	300	283	272	259	248	243	236	226	184	137	89	248	Suoliviridae_467	#4363d8
OQ198718_12	OQ198718	ICTV	Steigviridae	242	460	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	248	Steigviridae_460	#469990
MT774410_38	MT774410	ICTV	Suoliviridae	67	467	404	331	322	311	300	283	272	259	248	243	236	226	184	137	89	248	Suoliviridae_467	#4363d8
KC821624_93	KC821624	ICTV	Steigviridae	884	461	398	326	317	306	295	279	268	255	245	240	233	223	183	136	89	248	Steigviridae_461	#469990
OQ198717_12	OQ198717	ICTV	Steigviridae	242	460	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	248	Steigviridae_460	#469990
MT774385_41	MT774385	ICTV	Steigviridae	242	459	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	248	Steigviridae_459	#469990
MZ130487_19	MZ130487	ICTV	Crevaviridae	117	442	383	315	306	295	285	270	260	248	238	233	226	216	177	132	88	621	Crevaviridae_442	#911eb4
MZ130489_80	MZ130489	ICTV	Crevaviridae	117	442	383	315	306	295	285	270	260	248	238	233	226	216	177	132	88	621	Crevaviridae_442	#911eb4
MT774384_30	MT774384	ICTV	Intestiviridae	49	440	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	621	Intestiviridae_440	#42d4f4
MH552500_61	MH552500	ICTV	Intestiviridae	49	440	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	621	Intestiviridae_440	#42d4f4
MT774393_67	MT774393	ICTV	Crevaviridae	117	443	384	316	307	296	286	270	260	248	238	233	226	216	177	132	88	621	Crevaviridae_443	#911eb4
MT774394_21	MT774394	ICTV	Intestiviridae	49	440	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	621	Intestiviridae_440	#42d4f4
AP017903_39	AP017903	ICTV	Suoliviridae	700	469	406	332	323	312	301	284	273	260	249	244	237	227	184	137	89	248	Suoliviridae_469	#4363d8
BK010471_75	BK010471	ICTV	Intestiviridae	49	441	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	621	Intestiviridae_441	#42d4f4
MZ130490_13	MZ130490	ICTV	Crevaviridae	117	443	384	316	307	296	286	270	260	248	238	233	226	216	177	132	88	621	Crevaviridae_443	#911eb4
OQ198719_4	OQ198719	ICTV	Intestiviridae	49	441	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	621	Intestiviridae_441	#42d4f4
MZ130496_19	MZ130496	ICTV	Suoliviridae	67	468	405	331	322	311	300	283	272	259	248	243	236	226	184	137	89	248	Suoliviridae_468	#4363d8
MZ130498_74	MZ130498	ICTV	Suoliviridae	67	468	405	331	322	311	300	283	272	259	248	243	236	226	184	137	89	248	Suoliviridae_468	#4363d8
