seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy	contig_len	cum_sum	cumstart	cumend	VFC	replication_start	replication_end	replication_cumstart	replication_cumend	checkv_quality	completeness	mean_depth_mitC	std_depth_mitC	n_depth_mitC	coverage_ratio_mitC	Cohens_d_mitC	mean_depth_nomitC	std_depth_nomitC	n_depth_nomitC	coverage_ratio_nomitC	Cohens_d_nomitC	replicating_mitC	replicating_nomitC
72d052e7488c4515_3|provirus_82_43705	43624	Provirus	82-43705	68	11	0.9787		14	72.1651	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	74552	2682066	2682148	2725771	4.0	1	39447	2673185	2721513	High-quality	98.29	56.17500924845622	17.011504437936885	35141	155.04289159017873	26.5186107652792	32919.14358989054	8999.349231912045	34898	132.62294178741678	28.908587425229367	True	True
72d052e7488c4515_1|provirus_1573111_1615997	42887	Provirus	1573111-1615997	71	11	0.9736		14	55.0345	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	2641046	0	1573111	1615997		1573111	1615997	1573111	1615997	High-quality	100.0	0.9333874898456539	1.229840703509651	39392	2.5761472465399864	0.7972433047095465	563.567579338579	48.503470115178146	34441	2.27047189316459	4.782157048483168	True	True
72d052e7488c4515_4|provirus_32347_41020	8674	Provirus	32347-41020	14	11	0.9642		0	11.4578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	41020	2641046	2673393	2682066		32139	41020	2673185	2682066	Low-quality	18.77	37.357732680195944	6.642882542658916	7145	103.10725312697072	46.99629276465292	21626.836023054755	1003.4928989202394	6940	87.12907755633191	245.98501308510464	True	True
72d052e7488c4515_1|provirus_2140766_2162381	21616	Provirus	2140766-2162381	16	11	0.9428		0	11.1433	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes	2641046	0	2140766	2162381		2140766	2162381	2140766	2162381	Low-quality	21.19	0.3747689233075194	0.8192820388438248	20015	1.0343613347839824	0.017624510912408544	244.27906709558823	355.9931286094837	17408	0.9841388615362335	-0.053841377144867676	False	False
