seq_id_hyb	seq_len_hyb	votu95_id	sample_id_hyb	seq_id_sr	seq_len_sr	sample_id_sr	#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
TLL1_102__full_1	39464	hyb_TLL1_102__full_1	1	TLL1_k99_79425	5529	1	TLL1_102__full_1	1	39464	30166	39427	99.9062	91.594	39.3	60.0
TLL1_133875__0_partial_1	34044	hyb_TLL1_133875__0_partial_1	1	TLL1_k99_153550	15387	1	TLL1_133875__0_partial_1	1	34044	29215	33981	99.8149	97.8657	39.4	60.0
TLL1_opera_contig_131512	135015	hyb_TLL1_opera_contig_131512	1	TLL1_k99_24377	54426	1	TLL1_opera_contig_131512	1	135015	37177	135015	100.0	31.6503	39.7	60.0
TLL1_opera_contig_131547_provirus_109329_163264	53936	hyb_TLL1_opera_contig_131547_provirus_109329_163264	1	TLL1_k99_460896	5208	1	TLL1_opera_contig_131547_provirus_109329_163264	1	53936	192423	53936	100.0	432.051	39.2	60.0
TLL1_opera_contig_132420_provirus_420_39036	38617	hyb_TLL1_opera_contig_132420_provirus_420_39036	1	TLL1_k99_451277	5374	1	TLL1_opera_contig_132420_provirus_420_39036	1	38617	119826	38617	100.0	356.17	39.5	60.0
TLL1_opera_contig_133596	18497	hyb_TLL1_opera_contig_133596	1	TLL1_k99_413737	8057	1	TLL1_opera_contig_133596	1	18497	7889	18497	100.0	48.3527	39.6	60.0
TLL1_opera_contig_134754_provirus_99640_129513	29874	hyb_TLL1_opera_contig_134754_provirus_99640_129513	1	TLL1_k99_184348	6609	1	TLL1_opera_contig_134754_provirus_99640_129513	1	29874	65714	29874	100.0	244.004	39.7	59.9
TLL1_opera_contig_134763	28612	hyb_TLL1_opera_contig_134763	1	TLL1_k99_32446	5880	1	TLL1_opera_contig_134763	1	28612	70525	28603	99.9685	274.258	39.7	59.9
TLL1_opera_contig_189	28058	hyb_TLL1_opera_contig_189	1	TLL1_k99_493888	11211	1	TLL1_opera_contig_189	1	28058	8538	28058	100.0	34.6538	39.7	60.0
TLL1_opera_contig_309	24649	hyb_TLL1_opera_contig_309	1	TLL1_k99_372462	6744	1	TLL1_opera_contig_309	1	24649	36351	24649	100.0	165.429	39.6	60.0
TLL1_opera_contig_333	19333	hyb_TLL1_opera_contig_333	1	TLL1_k99_241923	6832	1	TLL1_opera_contig_333	1	19333	41096	19326	99.9638	246.539	39.5	60.0
TLL1_opera_contig_336	19752	hyb_TLL1_opera_contig_336	1	TLL1_k99_234944	7087	1	TLL1_opera_contig_336	1	19752	5322	19659	99.5292	30.645	39.6	60.0
TLL1_opera_contig_367	18764	hyb_TLL1_opera_contig_367	1	TLL1_k99_122597	8894	1	TLL1_opera_contig_367	1	18764	4184	18764	100.0	25.6453	39.5	60.0
TLL1_opera_contig_45	63683	hyb_TLL1_opera_contig_45	1	TLL1_k99_105363	23547	1	TLL1_opera_contig_45	1	63683	10279	62116	97.5394	18.3133	39.5	60.0
TLL1_opera_contig_54	57099	hyb_TLL1_opera_contig_54	1	TLL1_k99_38122	11031	1	TLL1_opera_contig_54	1	57099	97052	57099	100.0	192.673	39.6	59.6
TLL1_opera_contig_565	14415	hyb_TLL1_opera_contig_565	1	TLL1_k99_613032	6477	1	TLL1_opera_contig_565	1	14415	1460	14214	98.6056	11.4935	39.4	59.6
TLL1_opera_contig_703	24174	hyb_TLL1_opera_contig_703	1	TLL1_790829__full	5419	1	TLL1_opera_contig_703	1	24174	737	10530	43.5592	3.46505	39.6	59.6
TLL1_opera_contig_90	52448	hyb_TLL1_opera_contig_90	1	TLL1_k99_11676	9888	1	TLL1_opera_contig_90	1	52448	24193	50889	97.0275	52.3785	39.7	60.0
