gene	votu_id	dataset	Family	VFC	VC60	VC65	VC70	VC71	VC72	VC73	VC74	VC75	VC76	VC77	VC78	VC79	VC80	VC85	VC90	VC95	PC	itol_label	itol_color
MZ130489_77	MZ130489	ICTV	Crevaviridae	117	442	383	315	306	295	285	270	260	248	238	233	226	216	177	132	88	86	Crevaviridae_442	#911eb4
MZ130490_10	MZ130490	ICTV	Crevaviridae	117	443	384	316	307	296	286	270	260	248	238	233	226	216	177	132	88	86	Crevaviridae_443	#911eb4
OMFN01000064.1_61	OMFN01000064.1	Benler	Flandersviridae	183	418	362	300	291	281	272	258	248	238	228	223	217	207	170	126	84	100	Flandersviridae_418	#000075
OMFP01000029.1_54	OMFP01000029.1	Benler	Flandersviridae	183	418	362	300	291	281	272	258	248	238	228	223	217	207	170	126	84	100	Flandersviridae_418	#000075
TLL28_opera_contig_45_provirus_38355_86150_38	TLL28_opera_contig_45_provirus_38355_86150	SPMP		1	1523	1320	1116	1073	1031	989	953	916	874	836	801	772	736	579	408	223	2	1_1523	#e6194B
KC821624_96	KC821624	ICTV	Steigviridae	884	461	398	326	317	306	295	279	268	255	245	240	233	223	183	136	89	86	Steigviridae_461	#469990
MZ130487_16	MZ130487	ICTV	Crevaviridae	117	442	383	315	306	295	285	270	260	248	238	233	226	216	177	132	88	86	Crevaviridae_442	#911eb4
MT774384_33	MT774384	ICTV	Intestiviridae	49	440	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	86	Intestiviridae_440	#42d4f4
MT774393_70	MT774393	ICTV	Crevaviridae	117	443	384	316	307	296	286	270	260	248	238	233	226	216	177	132	88	86	Crevaviridae_443	#911eb4
OQ198719_1	OQ198719	ICTV	Intestiviridae	49	441	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	86	Intestiviridae_441	#42d4f4
MT774385_30	MT774385	ICTV	Steigviridae	242	459	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	86	Steigviridae_459	#469990
OQ198718_1	OQ198718	ICTV	Steigviridae	242	460	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	86	Steigviridae_460	#469990
MT774394_15	MT774394	ICTV	Intestiviridae	49	440	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	86	Intestiviridae_440	#42d4f4
MH552500_57	MH552500	ICTV	Intestiviridae	49	440	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	86	Intestiviridae_440	#42d4f4
MZ130488_68	MZ130488	ICTV	Intestiviridae	49	441	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	86	Intestiviridae_441	#42d4f4
OQ198717_1	OQ198717	ICTV	Steigviridae	242	460	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	86	Steigviridae_460	#469990
MT774392_107	MT774392	ICTV	Steigviridae	242	460	397	325	316	305	294	278	267	254	244	239	232	222	183	136	89	86	Steigviridae_460	#469990
BK010471_78	BK010471	ICTV	Intestiviridae	49	441	382	314	305	294	284	269	259	247	237	232	225	215	177	132	88	86	Intestiviridae_441	#42d4f4
MZ130497_23	MZ130497	ICTV	Suoliviridae	67	467	404	331	322	311	300	283	272	259	248	243	236	226	184	137	89	86	Suoliviridae_467	#4363d8
AP017903_32	AP017903	ICTV	Suoliviridae	700	469	406	332	323	312	301	284	273	260	249	244	237	227	184	137	89	86	Suoliviridae_469	#4363d8
MT774410_32	MT774410	ICTV	Suoliviridae	67	467	404	331	322	311	300	283	272	259	248	243	236	226	184	137	89	86	Suoliviridae_467	#4363d8
MT774411_7	MT774411	ICTV	Suoliviridae	67	467	404	331	322	311	300	283	272	259	248	243	236	226	184	137	89	86	Suoliviridae_467	#4363d8
