#CHROM	POS	TLL102
TLL102_opera_contig_232	1	36
TLL102_opera_contig_232	2	36
TLL102_opera_contig_232	3	38
TLL102_opera_contig_232	4	38
TLL102_opera_contig_232	5	40
TLL102_opera_contig_232	6	40
TLL102_opera_contig_232	7	42
TLL102_opera_contig_232	8	44
TLL102_opera_contig_232	9	44
TLL102_opera_contig_232	10	44
TLL102_opera_contig_232	11	44
TLL102_opera_contig_232	12	47
TLL102_opera_contig_232	13	52
TLL102_opera_contig_232	14	52
TLL102_opera_contig_232	15	52
TLL102_opera_contig_232	16	53
TLL102_opera_contig_232	17	53
TLL102_opera_contig_232	18	53
TLL102_opera_contig_232	19	54
TLL102_opera_contig_232	20	54
TLL102_opera_contig_232	21	54
TLL102_opera_contig_232	22	55
TLL102_opera_contig_232	23	55
TLL102_opera_contig_232	24	56
TLL102_opera_contig_232	25	56
TLL102_opera_contig_232	26	59
TLL102_opera_contig_232	27	59
TLL102_opera_contig_232	28	60
TLL102_opera_contig_232	29	64
TLL102_opera_contig_232	30	65
TLL102_opera_contig_232	31	65
TLL102_opera_contig_232	32	65
TLL102_opera_contig_232	33	65
TLL102_opera_contig_232	34	65
TLL102_opera_contig_232	35	65
TLL102_opera_contig_232	36	68
TLL102_opera_contig_232	37	68
TLL102_opera_contig_232	38	68
TLL102_opera_contig_232	39	72
TLL102_opera_contig_232	40	72
TLL102_opera_contig_232	41	72
TLL102_opera_contig_232	42	72
TLL102_opera_contig_232	43	73
TLL102_opera_contig_232	44	73
TLL102_opera_contig_232	45	73
TLL102_opera_contig_232	46	74
TLL102_opera_contig_232	47	74
TLL102_opera_contig_232	48	74
TLL102_opera_contig_232	49	74
TLL102_opera_contig_232	50	76
TLL102_opera_contig_232	51	77
TLL102_opera_contig_232	52	79
TLL102_opera_contig_232	53	83
TLL102_opera_contig_232	54	83
TLL102_opera_contig_232	55	84
TLL102_opera_contig_232	56	84
TLL102_opera_contig_232	57	84
TLL102_opera_contig_232	58	87
TLL102_opera_contig_232	59	87
TLL102_opera_contig_232	60	87
TLL102_opera_contig_232	61	87
TLL102_opera_contig_232	62	88
TLL102_opera_contig_232	63	88
TLL102_opera_contig_232	64	88
TLL102_opera_contig_232	65	92
TLL102_opera_contig_232	66	93
TLL102_opera_contig_232	67	93
TLL102_opera_contig_232	68	93
TLL102_opera_contig_232	69	93
TLL102_opera_contig_232	70	94
TLL102_opera_contig_232	71	97
TLL102_opera_contig_232	72	97
TLL102_opera_contig_232	73	98
TLL102_opera_contig_232	74	100
TLL102_opera_contig_232	75	102
TLL102_opera_contig_232	76	102
TLL102_opera_contig_232	77	103
TLL102_opera_contig_232	78	103
TLL102_opera_contig_232	79	101
TLL102_opera_contig_232	80	101
TLL102_opera_contig_232	81	101
TLL102_opera_contig_232	82	99
TLL102_opera_contig_232	83	99
TLL102_opera_contig_232	84	99
TLL102_opera_contig_232	85	99
TLL102_opera_contig_232	86	99
TLL102_opera_contig_232	87	100
TLL102_opera_contig_232	88	98
TLL102_opera_contig_232	89	98
TLL102_opera_contig_232	90	99
TLL102_opera_contig_232	91	99
TLL102_opera_contig_232	92	99
TLL102_opera_contig_232	93	100
TLL102_opera_contig_232	94	100
TLL102_opera_contig_232	95	98
TLL102_opera_contig_232	96	98
TLL102_opera_contig_232	97	99
TLL102_opera_contig_232	98	101
TLL102_opera_contig_232	99	101
TLL102_opera_contig_232	100	101
TLL102_opera_contig_232	101	99
TLL102_opera_contig_232	102	99
TLL102_opera_contig_232	103	100
TLL102_opera_contig_232	104	100
TLL102_opera_contig_232	105	100
TLL102_opera_contig_232	106	100
TLL102_opera_contig_232	107	100
TLL102_opera_contig_232	108	100
TLL102_opera_contig_232	109	100
TLL102_opera_contig_232	110	100
TLL102_opera_contig_232	111	100
TLL102_opera_contig_232	112	101
TLL102_opera_contig_232	113	101
TLL102_opera_contig_232	114	101
TLL102_opera_contig_232	115	101
TLL102_opera_contig_232	116	101
TLL102_opera_contig_232	117	101
TLL102_opera_contig_232	118	99
TLL102_opera_contig_232	119	98
TLL102_opera_contig_232	120	100
TLL102_opera_contig_232	121	100
TLL102_opera_contig_232	122	96
TLL102_opera_contig_232	123	97
TLL102_opera_contig_232	124	97
TLL102_opera_contig_232	125	97
TLL102_opera_contig_232	126	98
TLL102_opera_contig_232	127	96
TLL102_opera_contig_232	128	97
TLL102_opera_contig_232	129	94
TLL102_opera_contig_232	130	95
TLL102_opera_contig_232	131	86
TLL102_opera_contig_232	132	86
TLL102_opera_contig_232	133	84
TLL102_opera_contig_232	134	87
TLL102_opera_contig_232	135	87
TLL102_opera_contig_232	136	85
TLL102_opera_contig_232	137	82
TLL102_opera_contig_232	138	82
TLL102_opera_contig_232	139	82
TLL102_opera_contig_232	140	81
TLL102_opera_contig_232	141	80
TLL102_opera_contig_232	142	80
TLL102_opera_contig_232	143	80
TLL102_opera_contig_232	144	80
TLL102_opera_contig_232	145	82
TLL102_opera_contig_232	146	81
TLL102_opera_contig_232	147	79
TLL102_opera_contig_232	148	81
TLL102_opera_contig_232	149	80
TLL102_opera_contig_232	150	82
TLL102_opera_contig_232	151	82
TLL102_opera_contig_232	152	82
TLL102_opera_contig_232	153	82
TLL102_opera_contig_232	154	80
TLL102_opera_contig_232	155	78
TLL102_opera_contig_232	156	80
TLL102_opera_contig_232	157	80
TLL102_opera_contig_232	158	76
TLL102_opera_contig_232	159	76
TLL102_opera_contig_232	160	79
TLL102_opera_contig_232	161	81
TLL102_opera_contig_232	162	84
TLL102_opera_contig_232	163	86
TLL102_opera_contig_232	164	86
TLL102_opera_contig_232	165	88
TLL102_opera_contig_232	166	90
TLL102_opera_contig_232	167	89
TLL102_opera_contig_232	168	89
TLL102_opera_contig_232	169	88
TLL102_opera_contig_232	170	88
TLL102_opera_contig_232	171	88
TLL102_opera_contig_232	172	88
TLL102_opera_contig_232	173	87
TLL102_opera_contig_232	174	87
TLL102_opera_contig_232	175	86
TLL102_opera_contig_232	176	85
TLL102_opera_contig_232	177	86
TLL102_opera_contig_232	178	87
TLL102_opera_contig_232	179	86
TLL102_opera_contig_232	180	87
TLL102_opera_contig_232	181	86
TLL102_opera_contig_232	182	86
TLL102_opera_contig_232	183	87
TLL102_opera_contig_232	184	87
TLL102_opera_contig_232	185	88
TLL102_opera_contig_232	186	88
TLL102_opera_contig_232	187	85
TLL102_opera_contig_232	188	85
TLL102_opera_contig_232	189	85
TLL102_opera_contig_232	190	85
TLL102_opera_contig_232	191	85
TLL102_opera_contig_232	192	83
TLL102_opera_contig_232	193	83
TLL102_opera_contig_232	194	84
TLL102_opera_contig_232	195	87
TLL102_opera_contig_232	196	86
TLL102_opera_contig_232	197	89
TLL102_opera_contig_232	198	89
TLL102_opera_contig_232	199	89
TLL102_opera_contig_232	200	89
TLL102_opera_contig_232	201	87
TLL102_opera_contig_232	202	86
TLL102_opera_contig_232	203	84
TLL102_opera_contig_232	204	84
TLL102_opera_contig_232	205	83
TLL102_opera_contig_232	206	85
TLL102_opera_contig_232	207	85
TLL102_opera_contig_232	208	84
TLL102_opera_contig_232	209	86
TLL102_opera_contig_232	210	88
TLL102_opera_contig_232	211	89
TLL102_opera_contig_232	212	86
TLL102_opera_contig_232	213	87
TLL102_opera_contig_232	214	88
TLL102_opera_contig_232	215	91
TLL102_opera_contig_232	216	89
TLL102_opera_contig_232	217	91
TLL102_opera_contig_232	218	97
TLL102_opera_contig_232	219	98
TLL102_opera_contig_232	220	99
TLL102_opera_contig_232	221	99
TLL102_opera_contig_232	222	96
TLL102_opera_contig_232	223	97
TLL102_opera_contig_232	224	97
TLL102_opera_contig_232	225	97
TLL102_opera_contig_232	226	97
TLL102_opera_contig_232	227	99
TLL102_opera_contig_232	228	99
TLL102_opera_contig_232	229	100
TLL102_opera_contig_232	230	100
TLL102_opera_contig_232	231	100
TLL102_opera_contig_232	232	101
TLL102_opera_contig_232	233	101
TLL102_opera_contig_232	234	101
TLL102_opera_contig_232	235	99
TLL102_opera_contig_232	236	99
TLL102_opera_contig_232	237	99
TLL102_opera_contig_232	238	96
TLL102_opera_contig_232	239	97
TLL102_opera_contig_232	240	97
TLL102_opera_contig_232	241	96
TLL102_opera_contig_232	242	97
TLL102_opera_contig_232	243	98
TLL102_opera_contig_232	244	98
TLL102_opera_contig_232	245	98
TLL102_opera_contig_232	246	98
TLL102_opera_contig_232	247	98
TLL102_opera_contig_232	248	97
TLL102_opera_contig_232	249	97
TLL102_opera_contig_232	250	97
TLL102_opera_contig_232	251	97
TLL102_opera_contig_232	252	98
TLL102_opera_contig_232	253	102
TLL102_opera_contig_232	254	102
TLL102_opera_contig_232	255	105
TLL102_opera_contig_232	256	105
TLL102_opera_contig_232	257	105
TLL102_opera_contig_232	258	105
