contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TLL1_k99_103633	7369	No	NA	4	3	0	Low-quality	Genome-fragment	17.94	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_589012	9852	No	NA	21	8	0	Low-quality	Genome-fragment	25.41	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_627087	5294	No	NA	12	4	0	Low-quality	Genome-fragment	11.39	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_226102	12980	Yes	4087	16	2	5	Low-quality	Genome-fragment	6.48	HMM-based (lower-bound)	68.51	1.0	
TLL1_k99_202810	10763	No	NA	10	3	0	Low-quality	Genome-fragment	11.95	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_661952	5208	No	NA	5	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_718287	8400	No	NA	15	6	0	Medium-quality	Genome-fragment	71.37	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_3364	8760	No	NA	14	12	1	Low-quality	Genome-fragment	21.84	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_331024	5478	No	NA	15	2	0	Low-quality	Genome-fragment	13.92	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_576060	8825	No	NA	17	7	0	Low-quality	Genome-fragment	22.38	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_726852	12495	No	NA	12	0	9	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_32446	5880	No	NA	13	2	0	Low-quality	Genome-fragment	10.42	AAI-based (high-confidence)	0.0	1.01	
TLL1_k99_184348	6609	No	NA	11	5	0	Low-quality	Genome-fragment	14.61	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_24377	54426	No	NA	84	12	2	Low-quality	Genome-fragment	32.59	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_172269	19901	No	NA	25	15	0	Medium-quality	Genome-fragment	52.56	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_234944	7087	No	NA	7	0	0	Low-quality	Genome-fragment	16.79	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_261225	9689	No	NA	10	1	0	Low-quality	Genome-fragment	5.46	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_413737	8057	No	NA	14	3	1	Low-quality	Genome-fragment	47.34	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_529186	22009	No	NA	23	20	0	Medium-quality	Genome-fragment	53.86	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_104690	23822	No	NA	32	13	0	Medium-quality	Genome-fragment	50.28	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_268392	17809	No	NA	18	2	1	Low-quality	Genome-fragment	35.13	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_409300	7524	No	NA	13	0	0	Low-quality	Genome-fragment	14.72	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_364083	31070	No	NA	46	14	1	Medium-quality	Genome-fragment	66.92	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_184101	6983	No	NA	13	7	0	Low-quality	Genome-fragment	8.93	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_170666	6178	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_207372	6945	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_498668	5396	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_503841	15421	No	NA	14	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_798169	7289	No	NA	6	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_799265	6855	No	NA	8	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_288193	5278	No	NA	4	2	0	Low-quality	Genome-fragment	14.04	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_278670	15218	No	NA	28	10	0	Low-quality	Genome-fragment	39.26	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_285115	6995	No	NA	7	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL1_k99_585505	5188	No	NA	4	0	2	Low-quality	Genome-fragment	0.71	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL1_k99_242717	7808	No	NA	12	5	0	Low-quality	Genome-fragment	10.84	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_82454	17341	No	NA	13	3	1	Low-quality	Genome-fragment	27.42	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_226692	12537	No	NA	26	4	0	Low-quality	Genome-fragment	19.83	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_796271	39908	No	NA	62	15	0	Medium-quality	Genome-fragment	63.72	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_220037	8170	No	NA	16	4	1	Low-quality	Genome-fragment	19.67	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_372462	6744	Yes	5973	10	1	1	Low-quality	Genome-fragment	8.64	HMM-based (lower-bound)	11.43	1.0	
TLL1_k99_434255	5817	No	NA	9	2	0	Low-quality	Genome-fragment	14.97	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_969	8306	No	NA	11	1	1	Low-quality	Genome-fragment	19.39	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_11676	9888	No	NA	22	7	0	Low-quality	Genome-fragment	11.66	HMM-based (lower-bound)	0.0	1.0	
TLL1_k99_24096	29630	No	NA	41	27	0	Medium-quality	Genome-fragment	71.99	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_26953	9504	No	NA	26	6	0	Low-quality	Genome-fragment	19.98	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_33530	19384	No	NA	20	5	0	Low-quality	Genome-fragment	37.79	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_34683	5127	No	NA	4	2	0	Low-quality	Genome-fragment	10.57	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_38122	11031	No	NA	21	4	0	Low-quality	Genome-fragment	19.61	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_38722	10385	No	NA	10	4	0	Low-quality	Genome-fragment	23.16	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_41197	5615	Yes	1814	9	2	5	Low-quality	Genome-fragment	3.62	AAI-based (medium-confidence)	67.69	1.0	
TLL1_k99_42012	9612	No	NA	13	9	2	Low-quality	Genome-fragment	22.48	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_43575	5896	No	NA	5	4	0	Low-quality	Genome-fragment	14.34	AAI-based (medium-confidence)	0.0	1.0	
TLL1_k99_54921	7529	Yes	5333	12	3	2	Low-quality	Genome-fragment	11.16	AAI-based (high-confidence)	29.17	1.0	
TLL1_k99_55098	19218	No	NA	22	4	0	Low-quality	Genome-fragment	21.31	AAI-based (high-confidence)	0.0	1.0	
TLL1_k99_57222	6415	No	NA	13	4	0	Low-quality	Genome-fragment	6.15	AAI-based (high-confidence)	0.0	1.0	
