votu95_id	num_hyb	num_sr	max_hyb_len	max_sr_len	hyb_VFC	sr_VFC
hyb_TLL49_opera_contig_1	2	6	390702	24972	233	
hyb_TLL48_opera_contig_2_provirus_16743_390042	1	1	373300	7161	233	
hyb_TLL37_opera_contig_3	1	5	343496	31505	233	
hyb_TLL83_opera_contig_230342	1	16	312289	53091	69	
hyb_TLL93_opera_contig_6	1	8	301695	18802	69	
hyb_TLL79_opera_contig_3	1	23	300640	38463		
hyb_TLL12_opera_contig_3	1	10	291210	32096	69	
hyb_TLL44_opera_contig_2_provirus_2_277964	1	6	277963	44572	69	
hyb_TLL40_opera_contig_6	2	11	265842	32344	69	
hyb_TLL39_opera_contig_3_provirus_46_260743	1	21	260698	18790	69	432
hyb_TLL61_opera_contig_4_provirus_249_259121	1	8	258873	23104	69	
hyb_TLL66_opera_contig_6	1	10	252921	27498	337	
hyb_TLL2_opera_contig_2_provirus_163_240371	1	4	240209	11762	233	
hyb_TLL37_opera_contig_155093_provirus_2_239474	3	7	239473	19804	184	
hyb_TLL107_opera_contig_3	1	6	237458	8488	69	
hyb_TLL48_opera_contig_6_provirus_13257_235469	2	14	222213	28167	69	432
hyb_TLL26_opera_contig_2_provirus_17277_234200	1	0	216924	0	367	
hyb_TLL31_24__full	2	8	214559	10706	254	
hyb_TLL43_opera_contig_349947_provirus_53034_261016	1	9	207983	19130	184	
hyb_TLL2_opera_contig_2_provirus_342568_545715	1	3	203148	6999	233	
hyb_TLL5_opera_contig_2_provirus_70791_267103	1	6	196313	26971	69	
hyb_TLL4_opera_contig_5	1	7	192038	23081	184	
hyb_TLL23_opera_contig_4	1	10	191000	50973	142	
hyb_TLL49_opera_contig_2_provirus_2_186440	1	3	186439	8417		
hyb_TLL71_opera_contig_6	1	14	186110	18722	142	
hyb_TLL70_opera_contig_159760	1	5	183179	9025	142	
hyb_TLL89_opera_contig_1_provirus_84_181803	1	4	181720	26222	69	
hyb_TLL48_opera_contig_15	1	9	181710	11595		
hyb_TLL70_6__full_1	2	7	181042	15466	238	
hyb_TLL8_opera_contig_3	1	8	180233	51354	202	
hyb_TLL13_opera_contig_8	1	3	180016	15507	69	
hyb_TLL18_opera_contig_13_provirus_689_180505	2	2	179817	8906	69	
hyb_TLL75_opera_contig_10	2	29	179754	34932	89	
hyb_TLL6_opera_contig_14	10	6	175516	20760		
hyb_TLL76_opera_contig_2	2	16	174668	23828	89	
hyb_TLL43_opera_contig_8	1	6	174447	20464	69	
hyb_TLL59_121331__0_partial_1	2	3	174251	7526	98	
hyb_TLL33_opera_contig_5	4	20	174134	37777	142	
hyb_TLL97_opera_contig_10	1	1	173506	6561	370	
hyb_TLL87_opera_contig_7	1	5	172763	46184	202	
hyb_TLL87_opera_contig_96827_provirus_77194_249598	1	5	172405	9970	337	
hyb_TLL58_opera_contig_107998	3	16	171903	17803	312	
hyb_TLL48_250854__full_1	4	17	171473	23412		
hyb_TLL101_opera_contig_214512_provirus_3_171075	1	9	171073	33717	330	
hyb_TLL26_opera_contig_2_provirus_308979_479408	1	0	170430	0		
hyb_TLL45_opera_contig_163	1	0	170041	0		
hyb_TLL15_opera_contig_10	2	7	168918	21775		
hyb_TLL45_opera_contig_31	1	5	168546	14168	69	
hyb_TLL69_opera_contig_5	2	13	168536	21283	142	
hyb_TLL31_opera_contig_69	2	6	168125	11473	142	
hyb_TLL71_opera_contig_9	1	12	167739	45036	202	
hyb_TLL92_133856__0_partial_1	2	11	167207	26056	299	
hyb_TLL44_opera_contig_12	1	5	166849	6408	202	
hyb_TLL71_opera_contig_11	4	9	166737	12964		
hyb_TLL68_opera_contig_4	1	9	166235	43389	89	
hyb_TLL45_opera_contig_139	1	0	166040	0	330	
hyb_TLL14_opera_contig_10	1	3	165978	6119		
hyb_TLL97_6__full_1	5	28	164844	23726	89	
hyb_TLL16_208926__full	1	7	163945	16501		
hyb_TLL40_opera_contig_13_provirus_57670_220791	1	6	163122	6656	89	
hyb_TLL52_opera_contig_2	1	5	163077	17365	184	
hyb_TLL30_opera_contig_349212_provirus_1_162717	1	6	162717	50664		
hyb_TLL36_opera_contig_2_provirus_143390_305843	1	6	162454	14265		
hyb_TLL9_9__full	1	11	161711	12063	297	
hyb_TLL85_opera_contig_81434	1	3	161369	9341		
hyb_TLL53_4__full_1	2	24	160916	26463	238	
