#CHROM	POS	TLL62
TLL62_41__full_1	1	4
TLL62_41__full_1	2	4
TLL62_41__full_1	3	4
TLL62_41__full_1	4	4
TLL62_41__full_1	5	6
TLL62_41__full_1	6	6
TLL62_41__full_1	7	8
TLL62_41__full_1	8	8
TLL62_41__full_1	9	8
TLL62_41__full_1	10	8
TLL62_41__full_1	11	10
TLL62_41__full_1	12	10
TLL62_41__full_1	13	12
TLL62_41__full_1	14	12
TLL62_41__full_1	15	12
TLL62_41__full_1	16	14
TLL62_41__full_1	17	14
TLL62_41__full_1	18	16
TLL62_41__full_1	19	16
TLL62_41__full_1	20	16
TLL62_41__full_1	21	16
TLL62_41__full_1	22	16
TLL62_41__full_1	23	21
TLL62_41__full_1	24	21
TLL62_41__full_1	25	21
TLL62_41__full_1	26	21
TLL62_41__full_1	27	21
TLL62_41__full_1	28	23
TLL62_41__full_1	29	24
TLL62_41__full_1	30	26
TLL62_41__full_1	31	27
TLL62_41__full_1	32	29
TLL62_41__full_1	33	29
TLL62_41__full_1	34	29
TLL62_41__full_1	35	29
TLL62_41__full_1	36	29
TLL62_41__full_1	37	30
TLL62_41__full_1	38	30
TLL62_41__full_1	39	30
TLL62_41__full_1	40	36
TLL62_41__full_1	41	36
TLL62_41__full_1	42	36
TLL62_41__full_1	43	36
TLL62_41__full_1	44	34
TLL62_41__full_1	45	36
TLL62_41__full_1	46	36
TLL62_41__full_1	47	36
TLL62_41__full_1	48	37
TLL62_41__full_1	49	39
TLL62_41__full_1	50	39
TLL62_41__full_1	51	39
TLL62_41__full_1	52	39
TLL62_41__full_1	53	39
TLL62_41__full_1	54	40
TLL62_41__full_1	55	44
TLL62_41__full_1	56	44
TLL62_41__full_1	57	44
TLL62_41__full_1	58	44
TLL62_41__full_1	59	46
TLL62_41__full_1	60	46
TLL62_41__full_1	61	46
TLL62_41__full_1	62	46
TLL62_41__full_1	63	47
TLL62_41__full_1	64	49
TLL62_41__full_1	65	49
TLL62_41__full_1	66	49
TLL62_41__full_1	67	53
TLL62_41__full_1	68	53
TLL62_41__full_1	69	53
TLL62_41__full_1	70	53
TLL62_41__full_1	71	53
TLL62_41__full_1	72	53
TLL62_41__full_1	73	59
TLL62_41__full_1	74	59
TLL62_41__full_1	75	62
TLL62_41__full_1	76	63
TLL62_41__full_1	77	65
TLL62_41__full_1	78	65
TLL62_41__full_1	79	65
TLL62_41__full_1	80	65
TLL62_41__full_1	81	65
TLL62_41__full_1	82	66
TLL62_41__full_1	83	67
TLL62_41__full_1	84	70
TLL62_41__full_1	85	72
TLL62_41__full_1	86	72
TLL62_41__full_1	87	74
TLL62_41__full_1	88	77
TLL62_41__full_1	89	78
TLL62_41__full_1	90	78
TLL62_41__full_1	91	82
TLL62_41__full_1	92	82
TLL62_41__full_1	93	82
TLL62_41__full_1	94	82
TLL62_41__full_1	95	84
TLL62_41__full_1	96	84
TLL62_41__full_1	97	84
TLL62_41__full_1	98	90
TLL62_41__full_1	99	90
TLL62_41__full_1	100	90
TLL62_41__full_1	101	92
TLL62_41__full_1	102	92
TLL62_41__full_1	103	92
TLL62_41__full_1	104	92
TLL62_41__full_1	105	92
TLL62_41__full_1	106	94
TLL62_41__full_1	107	94
TLL62_41__full_1	108	93
TLL62_41__full_1	109	93
TLL62_41__full_1	110	92
TLL62_41__full_1	111	92
TLL62_41__full_1	112	90
TLL62_41__full_1	113	90
TLL62_41__full_1	114	90
TLL62_41__full_1	115	91
TLL62_41__full_1	116	96
TLL62_41__full_1	117	96
TLL62_41__full_1	118	101
TLL62_41__full_1	119	101
TLL62_41__full_1	120	102
TLL62_41__full_1	121	103
TLL62_41__full_1	122	104
TLL62_41__full_1	123	105
TLL62_41__full_1	124	106
TLL62_41__full_1	125	106
TLL62_41__full_1	126	106
TLL62_41__full_1	127	109
TLL62_41__full_1	128	107
TLL62_41__full_1	129	107
TLL62_41__full_1	130	107
TLL62_41__full_1	131	108
TLL62_41__full_1	132	109
TLL62_41__full_1	133	113
TLL62_41__full_1	134	114
TLL62_41__full_1	135	114
TLL62_41__full_1	136	114
TLL62_41__full_1	137	114
TLL62_41__full_1	138	115
TLL62_41__full_1	139	115
TLL62_41__full_1	140	114
TLL62_41__full_1	141	107
TLL62_41__full_1	142	105
TLL62_41__full_1	143	107
TLL62_41__full_1	144	110
TLL62_41__full_1	145	106
TLL62_41__full_1	146	107
TLL62_41__full_1	147	109
TLL62_41__full_1	148	107
TLL62_41__full_1	149	108
TLL62_41__full_1	150	106
TLL62_41__full_1	151	111
TLL62_41__full_1	152	111
