vir_id	vir_len	sample_id	contig_id	start_bp	end_bp	contig_len	mag_id
TLL1_27627__full_1	7259	TLL1	k99_27627	5580	12838	12838	
TLL1_780999__full_1	12333	TLL1	k99_780999	3475	15807	15807	
TLL1_372462__full_1	5973	TLL1	k99_372462	1	5973	6744	
TLL1_54921__full_1	5333	TLL1	k99_54921	1	5333	7529	
TLL1_92728__full_1	7977	TLL1	k99_92728	1	7977	9447	
TLL1_298272__full_1	28464	TLL1	k99_298272	1	28464	32729	
TLL1_483725__full_1	7058	TLL1	k99_483725	8127	15184	15184	
TLL1_637386__full_1	16481	TLL1	k99_637386	1	16481	18691	
TLL1_756834__full_1	5278	TLL1	k99_756834	1	5278	5818	
TLL1_103633__full	7369	TLL1	k99_103633	1	7369	7369	
TLL1_179372__full	5623	TLL1	k99_179372	1	5623	5623	
TLL1_113372__full	5239	TLL1	k99_113372	1	5239	5239	
TLL1_589012__full	9852	TLL1	k99_589012	1	9852	9852	
TLL1_627087__full	5294	TLL1	k99_627087	1	5294	5294	
TLL1_145715__full	7138	TLL1	k99_145715	1	7138	7138	
TLL1_175825__full	5713	TLL1	k99_175825	1	5713	5713	
TLL1_202810__full	10763	TLL1	k99_202810	1	10763	10763	
TLL1_718287__full	8400	TLL1	k99_718287	1	8400	8400	
TLL1_3364__full	8760	TLL1	k99_3364	1	8760	8760	
TLL1_14776__full	6953	TLL1	k99_14776	1	6953	6953	
TLL1_172411__full	9344	TLL1	k99_172411	1	9344	9344	
TLL1_191194__full	7547	TLL1	k99_191194	1	7547	7547	
TLL1_331024__full	5478	TLL1	k99_331024	1	5478	5478	
TLL1_576060__full	8825	TLL1	k99_576060	1	8825	8825	
TLL1_32446__full	5880	TLL1	k99_32446	1	5880	5880	
TLL1_184348__full	6609	TLL1	k99_184348	1	6609	6609	
TLL1_426016__full	23448	TLL1	k99_426016	1	23448	23448	
TLL1_24377__full	54426	TLL1	k99_24377	1	54426	54426	
TLL1_172269__full	19901	TLL1	k99_172269	1	19901	19901	
TLL1_218699__full	7430	TLL1	k99_218699	1	7430	7430	
TLL1_261225__full	9689	TLL1	k99_261225	1	9689	9689	
TLL1_413737__full	8057	TLL1	k99_413737	1	8057	8057	
TLL1_529186__full	22009	TLL1	k99_529186	1	22009	22009	
TLL1_750884__full	5306	TLL1	k99_750884	1	5306	5306	
TLL1_104690__full	23822	TLL1	k99_104690	1	23822	23822	
TLL1_268392__full	17809	TLL1	k99_268392	1	17809	17809	
TLL1_409300__full	7524	TLL1	k99_409300	1	7524	7524	
TLL1_364083__full	31070	TLL1	k99_364083	1	31070	31070	
TLL1_184101__full	6983	TLL1	k99_184101	1	6983	6983	
TLL1_321869__full	5513	TLL1	k99_321869	1	5513	5513	
TLL1_288193__full	5278	TLL1	k99_288193	1	5278	5278	
TLL1_278670__full	15218	TLL1	k99_278670	1	15218	15218	
TLL1_18953__full	7225	TLL1	k99_18953	1	7225	7225	
TLL1_180451__full	8001	TLL1	k99_180451	1	8001	8001	
TLL1_304522__full	10234	TLL1	k99_304522	1	10234	10234	
TLL1_577393__full	5928	TLL1	k99_577393	1	5928	5928	
TLL1_706564__full	7202	TLL1	k99_706564	1	7202	7202	
TLL1_242717__full	7808	TLL1	k99_242717	1	7808	7808	
TLL1_82454__full	17341	TLL1	k99_82454	1	17341	17341	
TLL1_226692__full	12537	TLL1	k99_226692	1	12537	12537	
TLL1_796271__full	39908	TLL1	k99_796271	1	39908	39908	
TLL1_220037__full	8170	TLL1	k99_220037	1	8170	8170	
TLL1_434255__full	5817	TLL1	k99_434255	1	5817	5817	
TLL1_969__full	8306	TLL1	k99_969	1	8306	8306	
TLL1_7593__full	9956	TLL1	k99_7593	1	9956	9956	
TLL1_11676__full	9888	TLL1	k99_11676	1	9888	9888	
TLL1_17308__full	7415	TLL1	k99_17308	1	7415	7415	
TLL1_24096__full	29630	TLL1	k99_24096	1	29630	29630	
TLL1_25526__full	7104	TLL1	k99_25526	1	7104	7104	
TLL1_26953__full	9504	TLL1	k99_26953	1	9504	9504	
TLL1_33530__full	19384	TLL1	k99_33530	1	19384	19384	
TLL1_34683__full	5127	TLL1	k99_34683	1	5127	5127	
TLL1_38122__full	11031	TLL1	k99_38122	1	11031	11031	
TLL1_38722__full	10385	TLL1	k99_38722	1	10385	10385	
TLL1_42012__full	9612	TLL1	k99_42012	1	9612	9612	
TLL1_43575__full	5896	TLL1	k99_43575	1	5896	5896	
TLL1_55098__full	19218	TLL1	k99_55098	1	19218	19218	
TLL1_57222__full	6415	TLL1	k99_57222	1	6415	6415	
TLL1_62850__full	6489	TLL1	k99_62850	1	6489	6489	
TLL1_62923__full	8470	TLL1	k99_62923	1	8470	8470	
TLL1_73941__full	6997	TLL1	k99_73941	1	6997	6997	
TLL1_79425__full	5529	TLL1	k99_79425	1	5529	5529	
TLL1_80389__full	7173	TLL1	k99_80389	1	7173	7173	
TLL1_84428__full	5174	TLL1	k99_84428	1	5174	5174	
TLL1_94192__full	10000	TLL1	k99_94192	1	10000	10000	
TLL1_94947__full	6938	TLL1	k99_94947	1	6938	6938	
TLL1_101512__full	6380	TLL1	k99_101512	1	6380	6380	
TLL1_101548__full	20467	TLL1	k99_101548	1	20467	20467	
TLL1_102983__full	8898	TLL1	k99_102983	1	8898	8898	
TLL1_105363__full	23547	TLL1	k99_105363	1	23547	23547	
TLL1_122597__full	8894	TLL1	k99_122597	1	8894	8894	
TLL1_129607__full	24531	TLL1	k99_129607	1	24531	24531	
TLL1_137816__full	10306	TLL1	k99_137816	1	10306	10306	
TLL1_139873__full	6371	TLL1	k99_139873	1	6371	6371	
TLL1_149043__full	10561	TLL1	k99_149043	1	10561	10561	
TLL1_151054__full	11136	TLL1	k99_151054	1	11136	11136	
TLL1_153550__full	15387	TLL1	k99_153550	1	15387	15387	
TLL1_158711__full	5646	TLL1	k99_158711	1	5646	5646	
TLL1_159921__full	12599	TLL1	k99_159921	1	12599	12599	
TLL1_163863__full	11704	TLL1	k99_163863	1	11704	11704	
TLL1_165195__full	5395	TLL1	k99_165195	1	5395	5395	
TLL1_170503__full	8593	TLL1	k99_170503	1	8593	8593	
TLL1_192960__full	7499	TLL1	k99_192960	1	7499	7499	
TLL1_198943__full	12410	TLL1	k99_198943	1	12410	12410	
TLL1_200008__full	8438	TLL1	k99_200008	1	8438	8438	
TLL1_224212__full	8159	TLL1	k99_224212	1	8159	8159	
TLL1_237624__full	6269	TLL1	k99_237624	1	6269	6269	
TLL1_240199__full	8916	TLL1	k99_240199	1	8916	8916	
TLL1_241923__full	6832	TLL1	k99_241923	1	6832	6832	
TLL1_248315__full	10584	TLL1	k99_248315	1	10584	10584	
TLL1_263177__full	8901	TLL1	k99_263177	1	8901	8901	
TLL1_267897__full	5868	TLL1	k99_267897	1	5868	5868	
TLL1_270893__full	10553	TLL1	k99_270893	1	10553	10553	
TLL1_282382__full	7635	TLL1	k99_282382	1	7635	7635	
TLL1_300340__full	10597	TLL1	k99_300340	1	10597	10597	
TLL1_301271__full	5376	TLL1	k99_301271	1	5376	5376	
TLL1_303395__full	23617	TLL1	k99_303395	1	23617	23617	
TLL1_307601__full	5227	TLL1	k99_307601	1	5227	5227	
TLL1_311250__full	5024	TLL1	k99_311250	1	5024	5024	
TLL1_313550__full	23870	TLL1	k99_313550	1	23870	23870	
TLL1_337916__full	8747	TLL1	k99_337916	1	8747	8747	
TLL1_352524__full	5901	TLL1	k99_352524	1	5901	5901	
TLL1_352988__full	39247	TLL1	k99_352988	1	39247	39247	
TLL1_366406__full	10420	TLL1	k99_366406	1	10420	10420	
TLL1_378578__full	6821	TLL1	k99_378578	1	6821	6821	
TLL1_388349__full	7779	TLL1	k99_388349	1	7779	7779	
TLL1_399008__full	10813	TLL1	k99_399008	1	10813	10813	
TLL1_399011__full	6024	TLL1	k99_399011	1	6024	6024	
TLL1_412561__full	6848	TLL1	k99_412561	1	6848	6848	
TLL1_413097__full	9730	TLL1	k99_413097	1	9730	9730	
TLL1_433955__full	7081	TLL1	k99_433955	1	7081	7081	
TLL1_451277__full	5374	TLL1	k99_451277	1	5374	5374	
