replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in	type	subtype	activity
prodigal-gv	AMLPBNCC_CDS_0002	RM__Type_I_REases_FAM_0.einsi_trimmed	2	defense-finder-models/RM/RM/RM_Type_I	prodigal-gv_RM_Type_I_2	1	1	1.0	3.0	2	RM__Type_I_REases_FAM_0.einsi_trimmed	mandatory	971	5.3000000000000004e-185	609.6	0.993	0.981	4	956		prodigal-gv_PrrC_1	RM	RM_Type_I	Defense
prodigal-gv	AMLPBNCC_CDS_0003	RM__Type_I_S_02	3	defense-finder-models/RM/RM/RM_Type_I	prodigal-gv_RM_Type_I_2	1	1	1.0	3.0	2	RM__Type_I_S_01	mandatory	376	3.3e-48	156.9	0.815	0.965	3	365		prodigal-gv_PrrC_1	RM	RM_Type_I	Defense
prodigal-gv	AMLPBNCC_CDS_0005	RM__Type_I_S_51	5	defense-finder-models/RM/RM/RM_Type_I	prodigal-gv_RM_Type_I_2	1	1	1.0	3.0	2	RM__Type_I_S_01	mandatory	382	6.1e-53	171.9	0.752	0.953	17	380		prodigal-gv_PrrC_1	RM	RM_Type_I	Defense
prodigal-gv	AMLPBNCC_CDS_0006	RM__Type_I_MTases_FAM_0	6	defense-finder-models/RM/RM/RM_Type_I	prodigal-gv_RM_Type_I_2	1	1	1.0	3.0	2	RM__Type_I_MTases_FAM_0	mandatory	500	1.1e-155	511.5	0.975	0.976	1	488		prodigal-gv_PrrC_1	RM	RM_Type_I	Defense
prodigal-gv	AMLPBNCC_CDS_0007	RM__Type_I_MTases_FAM_0	7	defense-finder-models/RM/RM/RM_Type_I	prodigal-gv_RM_Type_I_2	1	1	1.0	3.0	2	RM__Type_I_MTases_FAM_0	mandatory	800	1.9999999999999997e-152	500.8	0.965	0.606	306	790		prodigal-gv_PrrC_1	RM	RM_Type_I	Defense
