contig_id1	pos1	contig_id2	pos2
opera_contig_144	1748	opera_contig_162262	455373
opera_contig_144	28130	opera_contig_162262	239436
opera_contig_144	39086	opera_contig_239	1954
opera_contig_144	8824	opera_contig_162262	453095
opera_contig_144	21771	opera_contig_162263	380305
opera_contig_144	33355	opera_contig_162262	483755
opera_contig_144	18099	opera_contig_162264	84798
opera_contig_144	17002	opera_contig_162263	124778
opera_contig_144	18349	opera_contig_162262	36255
opera_contig_144	15467	opera_contig_162262	473765
opera_contig_144	25500	opera_contig_162270	6852
opera_contig_144	32651	opera_contig_162264	170166
opera_contig_144	28046	opera_contig_162262	132970
opera_contig_144	6647	opera_contig_162264	31675
opera_contig_144	34035	opera_contig_162263	303596
opera_contig_144	37696	opera_contig_162264	293872
opera_contig_144	32865	opera_contig_162269	14672
opera_contig_144	40552	opera_contig_162268	63507
opera_contig_144	39827	opera_contig_162270	103232
opera_contig_144	39159	opera_contig_162262	197610
opera_contig_144	20636	opera_contig_162268	52642
opera_contig_144	25414	opera_contig_162269	79831
opera_contig_144	28044	opera_contig_162262	340228
opera_contig_144	30176	opera_contig_162264	139951
opera_contig_144	2826	opera_contig_162269	70382
opera_contig_144	30026	opera_contig_162271	8565
opera_contig_144	31361	opera_contig_162270	68349
opera_contig_144	35638	opera_contig_162268	4675
opera_contig_144	1846	opera_contig_162262	452220
opera_contig_144	34805	opera_contig_162266	138611
opera_contig_144	41009	opera_contig_162267	121533
opera_contig_144	2857	opera_contig_162263	297297
opera_contig_144	15414	opera_contig_159385	131153
opera_contig_144	31096	opera_contig_162267	12108
opera_contig_144	16916	opera_contig_162262	247286
opera_contig_144	12197	opera_contig_162265	195940
opera_contig_144	38626	opera_contig_162263	344493
opera_contig_144	29086	opera_contig_162266	48570
opera_contig_144	18015	opera_contig_162263	69356
opera_contig_144	9848	opera_contig_162270	67320
opera_contig_144	5763	opera_contig_162263	383856
opera_contig_144	20295	opera_contig_162263	205633
opera_contig_144	31748	opera_contig_162263	458869
opera_contig_144	14021	opera_contig_162262	229869
opera_contig_144	26469	opera_contig_162263	88413
opera_contig_144	13497	opera_contig_162265	83300
opera_contig_144	3366	opera_contig_159385	143459
opera_contig_144	32478	opera_contig_162267	2867
opera_contig_144	41237	opera_contig_162262	355594
opera_contig_144	868	opera_contig_162263	282165
opera_contig_144	19718	opera_contig_162266	128163
opera_contig_144	12393	opera_contig_162262	400338
opera_contig_144	309	opera_contig_162262	595218
opera_contig_144	7333	opera_contig_162264	189263
opera_contig_144	8663	opera_contig_162264	197782
opera_contig_144	5040	opera_contig_162265	171398
opera_contig_144	41103	opera_contig_162263	146529
opera_contig_144	7324	opera_contig_162263	380569
opera_contig_144	284	opera_contig_162264	126122
opera_contig_144	15515	opera_contig_162263	50041
opera_contig_144	11735	opera_contig_162265	274559
opera_contig_144	33535	opera_contig_159385	8301
opera_contig_144	3125	opera_contig_162262	456441
opera_contig_144	7688	opera_contig_162269	47944
opera_contig_144	2184	opera_contig_162262	38944
opera_contig_144	38802	opera_contig_162265	93382
opera_contig_144	35212	opera_contig_159385	61878
opera_contig_144	16953	opera_contig_162267	89015
opera_contig_144	9939	opera_contig_162263	225588
opera_contig_144	32944	opera_contig_159385	89386
opera_contig_144	40227	opera_contig_162265	95863
opera_contig_144	27561	opera_contig_234	15766
opera_contig_144	21051	opera_contig_162264	189185
opera_contig_144	17164	opera_contig_162263	156508
opera_contig_144	155	opera_contig_162271	52089
opera_contig_144	37214	opera_contig_162265	274951
opera_contig_144	34345	opera_contig_162264	131375
opera_contig_144	20619	opera_contig_162266	52509
opera_contig_144	3019	opera_contig_162262	242479
opera_contig_144	16563	opera_contig_162262	585640
opera_contig_144	19389	opera_contig_162262	323908
opera_contig_144	35742	opera_contig_162263	11913
opera_contig_144	24585	opera_contig_162264	39578
opera_contig_144	39827	opera_contig_162263	415380
opera_contig_144	30286	opera_contig_162267	113731
opera_contig_144	24079	opera_contig_162262	539670
opera_contig_144	39693	opera_contig_162263	344614
opera_contig_144	19546	opera_contig_159385	21011
opera_contig_144	24330	opera_contig_162264	257109
opera_contig_144	1901	opera_contig_162266	30289
opera_contig_144	6374	opera_contig_159385	130752
opera_contig_144	19118	opera_contig_162265	92947
opera_contig_144	24504	opera_contig_162266	21878
opera_contig_144	9915	opera_contig_162263	351303
opera_contig_144	24999	opera_contig_162262	455416
opera_contig_144	1568	opera_contig_162265	18054
opera_contig_144	20469	opera_contig_159385	206738
opera_contig_144	17766	opera_contig_162263	408496
opera_contig_144	5074	opera_contig_162263	164156
opera_contig_144	23590	opera_contig_162268	85342
opera_contig_144	39707	opera_contig_162262	482453
opera_contig_144	40541	opera_contig_162264	345420
opera_contig_144	1167	opera_contig_162262	263822
opera_contig_144	39827	opera_contig_159385	86771
opera_contig_144	18556	opera_contig_162264	34518
opera_contig_144	34040	opera_contig_162264	66564
opera_contig_144	14209	opera_contig_162265	157597
opera_contig_144	9127	opera_contig_162262	243487
opera_contig_144	28177	opera_contig_162268	49294
opera_contig_144	11603	opera_contig_162262	505166
opera_contig_144	8088	opera_contig_162264	191346
opera_contig_144	859	opera_contig_162263	309728
opera_contig_144	26534	opera_contig_162262	646992
opera_contig_144	8167	opera_contig_162265	69007
opera_contig_144	36957	opera_contig_162262	321041
opera_contig_144	29079	opera_contig_162267	116696
opera_contig_144	19356	opera_contig_162264	156124
opera_contig_144	32931	opera_contig_162266	165811
opera_contig_144	20649	opera_contig_162262	564287
opera_contig_144	9134	opera_contig_162264	154973
opera_contig_144	8160	opera_contig_162262	58812
opera_contig_144	17298	opera_contig_162265	261433
opera_contig_144	31113	opera_contig_162263	222480
opera_contig_144	30231	opera_contig_162262	363736
opera_contig_144	22360	opera_contig_162264	52482
opera_contig_144	35597	opera_contig_162263	14691
opera_contig_144	31284	opera_contig_162263	456658
opera_contig_144	17152	opera_contig_162269	22213
opera_contig_144	806	opera_contig_162266	186263
opera_contig_144	30249	opera_contig_162267	119179
opera_contig_144	35613	opera_contig_162264	139928
opera_contig_144	19606	opera_contig_162268	52914
opera_contig_144	606	opera_contig_162268	75518
opera_contig_144	9691	opera_contig_162264	7667
opera_contig_144	14653	opera_contig_162269	34960
opera_contig_144	20696	opera_contig_162262	259978
opera_contig_144	40182	opera_contig_162264	184777
opera_contig_144	36598	opera_contig_162262	500727
opera_contig_144	17291	opera_contig_162264	166469
opera_contig_144	40419	opera_contig_162266	15970
opera_contig_144	11460	opera_contig_159385	143243
opera_contig_144	20375	opera_contig_162262	157714
opera_contig_144	27455	opera_contig_162264	269427
opera_contig_144	30501	opera_contig_162265	152844
opera_contig_144	38314	opera_contig_162262	649165
opera_contig_144	3343	opera_contig_162263	395502
opera_contig_144	22361	opera_contig_162263	118499
opera_contig_144	33875	opera_contig_162269	16507
opera_contig_144	38630	opera_contig_162262	581135
opera_contig_144	8298	opera_contig_162262	354616
opera_contig_144	11758	opera_contig_162263	400105
opera_contig_144	28915	opera_contig_159385	54782
opera_contig_144	35734	opera_contig_162264	372041
opera_contig_144	31800	opera_contig_162262	116035
opera_contig_144	3851	opera_contig_162263	14737
opera_contig_144	20653	opera_contig_162265	163917
opera_contig_144	40537	opera_contig_159385	143445
opera_contig_144	19866	opera_contig_239	23706
opera_contig_144	25555	opera_contig_162268	70893
opera_contig_144	34671	opera_contig_162262	552847
opera_contig_144	24043	opera_contig_159385	209984
opera_contig_144	32136	opera_contig_162263	453095
opera_contig_144	40614	opera_contig_162264	327861
opera_contig_144	40866	opera_contig_162271	75336
opera_contig_144	19259	opera_contig_162265	39967
opera_contig_144	15446	opera_contig_162262	350031
opera_contig_144	15754	opera_contig_162266	58294
opera_contig_144	34001	opera_contig_159385	57477
opera_contig_144	4401	opera_contig_162263	441894
opera_contig_144	13157	opera_contig_234	25086
opera_contig_144	13438	opera_contig_162263	324853
opera_contig_144	12249	opera_contig_162266	188715
opera_contig_144	21936	opera_contig_162262	350902
opera_contig_144	27229	opera_contig_162265	260293
opera_contig_144	7658	opera_contig_162263	231113
opera_contig_144	1490	opera_contig_162263	326931
opera_contig_144	986	opera_contig_162269	37070
opera_contig_144	40003	opera_contig_162262	541330
opera_contig_144	5129	opera_contig_162268	62423
opera_contig_144	18683	opera_contig_162271	71382
opera_contig_144	37208	opera_contig_162262	664506
opera_contig_144	31092	opera_contig_162269	30333
opera_contig_144	35526	opera_contig_159385	113227
opera_contig_144	7484	opera_contig_162266	89984
opera_contig_144	2986	opera_contig_162269	40887
opera_contig_144	16122	opera_contig_234	25758
opera_contig_144	24186	opera_contig_162262	542118
opera_contig_144	11992	opera_contig_162265	146664
opera_contig_144	19699	opera_contig_162262	653321
opera_contig_144	2368	opera_contig_162265	268742
opera_contig_144	15706	opera_contig_162271	20206
opera_contig_144	15682	opera_contig_162264	280579
opera_contig_144	9848	opera_contig_162263	348745
opera_contig_144	4326	opera_contig_162263	82944
opera_contig_144	40310	opera_contig_162264	247206
opera_contig_144	22361	opera_contig_162265	197945
opera_contig_144	5091	opera_contig_162267	122684
opera_contig_144	40002	opera_contig_162263	4665
opera_contig_144	39638	opera_contig_159385	123993
opera_contig_144	13379	opera_contig_162264	212407
opera_contig_144	36957	opera_contig_162265	245399
opera_contig_144	7658	opera_contig_162262	110237
opera_contig_144	35347	opera_contig_162262	364705
opera_contig_144	41412	opera_contig_162263	174195
opera_contig_144	3170	opera_contig_162263	60213
opera_contig_144	8665	opera_contig_162269	10256
opera_contig_144	21208	opera_contig_162263	378348
opera_contig_144	5760	opera_contig_162262	278748
opera_contig_144	3404	opera_contig_162266	152274
opera_contig_144	36416	opera_contig_162266	6139
opera_contig_144	12531	opera_contig_162264	329776
opera_contig_144	33558	opera_contig_162262	186372
opera_contig_144	3329	opera_contig_162262	177066
opera_contig_144	33870	opera_contig_162266	99886
opera_contig_144	7737	opera_contig_162263	385195
opera_contig_144	5847	opera_contig_162266	133288
opera_contig_144	4202	opera_contig_162262	453683
opera_contig_144	14074	opera_contig_162267	13756
opera_contig_144	18673	opera_contig_162263	212339
opera_contig_144	1005	opera_contig_162262	54070
opera_contig_144	41425	opera_contig_162270	13152
opera_contig_144	29908	opera_contig_159385	73101
opera_contig_144	8768	opera_contig_162262	455812
opera_contig_144	39689	opera_contig_239	12674
opera_contig_144	7229	opera_contig_162266	150621
opera_contig_144	24370	opera_contig_162262	70935
opera_contig_144	27280	opera_contig_162263	394246
opera_contig_144	12155	opera_contig_162263	221727
opera_contig_144	24724	opera_contig_162270	52388
opera_contig_144	18755	opera_contig_162263	366358
opera_contig_144	2984	opera_contig_162263	447006
opera_contig_144	34580	opera_contig_162262	612838
opera_contig_144	5212	opera_contig_162264	346671
opera_contig_144	32500	opera_contig_162265	159977
opera_contig_144	32485	opera_contig_162265	237023
opera_contig_144	25113	opera_contig_234	12196
opera_contig_144	28964	opera_contig_162271	78628
opera_contig_144	12156	opera_contig_162265	23127
opera_contig_144	1850	opera_contig_162262	340360
opera_contig_144	18022	opera_contig_162266	185208
opera_contig_144	21073	opera_contig_162271	2811
opera_contig_144	9536	opera_contig_162262	13540
opera_contig_144	24363	opera_contig_162269	90629
opera_contig_144	7291	opera_contig_162265	159282
opera_contig_144	5242	opera_contig_162266	74046
opera_contig_144	5864	opera_contig_162262	382356
opera_contig_144	7401	opera_contig_162266	100278
opera_contig_144	154	opera_contig_162263	320503
opera_contig_144	20259	opera_contig_162263	187907
opera_contig_144	40534	opera_contig_162268	9811
opera_contig_144	21525	opera_contig_162264	145454
opera_contig_144	38003	opera_contig_162263	209922
opera_contig_144	39544	opera_contig_162263	399411
opera_contig_144	20313	opera_contig_159385	29338
opera_contig_144	3446	opera_contig_162265	276819
opera_contig_144	35672	opera_contig_162262	335292
opera_contig_144	39989	opera_contig_162263	441734
opera_contig_144	33090	opera_contig_162264	125339
opera_contig_144	16910	opera_contig_162262	664421
opera_contig_144	34021	opera_contig_162266	8065
opera_contig_144	10481	opera_contig_162264	213124
opera_contig_144	35405	opera_contig_162262	486386
opera_contig_144	16876	opera_contig_159385	204906
opera_contig_144	3871	opera_contig_162268	117412
opera_contig_144	31931	opera_contig_159385	74840
opera_contig_144	28957	opera_contig_162262	540082
opera_contig_144	19686	opera_contig_162266	67800
opera_contig_144	15039	opera_contig_162265	188824
opera_contig_144	26190	opera_contig_162268	22160
opera_contig_144	22088	opera_contig_162264	249529
opera_contig_144	33515	opera_contig_162266	89176
opera_contig_144	38659	opera_contig_162264	95534
opera_contig_144	11080	opera_contig_162268	121029
opera_contig_144	15320	opera_contig_162264	70599
opera_contig_144	17587	opera_contig_162271	57065
opera_contig_144	38772	opera_contig_162262	250709
opera_contig_144	9562	opera_contig_162264	266069
opera_contig_144	26178	opera_contig_162262	36769
opera_contig_144	35613	opera_contig_162263	64009
opera_contig_144	11898	opera_contig_162263	434739
opera_contig_144	19651	opera_contig_162270	59965
opera_contig_144	7658	opera_contig_159385	75486
opera_contig_144	4654	opera_contig_162267	29478
opera_contig_144	37323	opera_contig_239	18435
opera_contig_144	21304	opera_contig_162262	538627
opera_contig_144	40496	opera_contig_162262	334839
opera_contig_144	6301	opera_contig_162265	100026
opera_contig_144	6876	opera_contig_162262	150068
opera_contig_144	9155	opera_contig_159385	4367
opera_contig_144	18016	opera_contig_162264	354271
opera_contig_144	18681	opera_contig_162262	586500
opera_contig_144	2701	opera_contig_162269	9940
opera_contig_144	17587	opera_contig_162262	330442
opera_contig_144	8613	opera_contig_162263	32256
opera_contig_144	17304	opera_contig_162264	339026
opera_contig_144	21336	opera_contig_162262	160140
opera_contig_144	7270	opera_contig_162262	308764
opera_contig_144	35758	opera_contig_162262	501659
opera_contig_144	22403	opera_contig_162262	526381
opera_contig_144	12192	opera_contig_162264	282926
opera_contig_144	34930	opera_contig_162263	54393
opera_contig_144	38667	opera_contig_159385	200683
opera_contig_144	24244	opera_contig_162266	77051
opera_contig_144	834	opera_contig_162262	87713
opera_contig_144	8423	opera_contig_159385	189082
opera_contig_144	30479	opera_contig_239	4102
opera_contig_144	25255	opera_contig_162266	195764
opera_contig_144	29844	opera_contig_162263	132387
opera_contig_144	16961	opera_contig_239	23090
opera_contig_144	22191	opera_contig_162262	683124
opera_contig_144	13951	opera_contig_162262	465774
opera_contig_144	13949	opera_contig_162265	82180
opera_contig_144	30057	opera_contig_162267	37202
opera_contig_144	13377	opera_contig_162262	467597
opera_contig_144	7004	opera_contig_162264	204322
opera_contig_144	19995	opera_contig_162265	113897
opera_contig_144	1021	opera_contig_159385	198238
opera_contig_144	24512	opera_contig_162263	356191
opera_contig_144	27982	opera_contig_159385	34756
opera_contig_144	8108	opera_contig_162269	54000
opera_contig_144	39927	opera_contig_162263	402666
opera_contig_144	39562	opera_contig_162262	475688
opera_contig_144	34713	opera_contig_162266	9343
opera_contig_144	30058	opera_contig_234	11899
opera_contig_144	21213	opera_contig_162263	287260
opera_contig_144	14257	opera_contig_162263	397422
opera_contig_144	21840	opera_contig_162269	46235
opera_contig_144	32730	opera_contig_162262	83027
opera_contig_144	32700	opera_contig_162262	473703
opera_contig_144	31288	opera_contig_162268	34772
opera_contig_144	34365	opera_contig_239	13411
opera_contig_144	14327	opera_contig_162262	140638
opera_contig_144	30026	opera_contig_159385	146989
opera_contig_144	6660	opera_contig_162264	31748
opera_contig_144	24695	opera_contig_162271	31703
opera_contig_144	24972	opera_contig_162264	285771
opera_contig_144	6708	opera_contig_162271	68825
opera_contig_144	16531	opera_contig_162266	101740
opera_contig_144	8928	opera_contig_159385	37569
opera_contig_144	33098	opera_contig_162262	682508
opera_contig_144	24678	opera_contig_162262	306362
opera_contig_144	1146	opera_contig_162262	376601
opera_contig_144	17575	opera_contig_162264	335856
opera_contig_144	12446	opera_contig_162263	45774
opera_contig_144	38392	opera_contig_162264	147233
opera_contig_144	32506	opera_contig_159385	137160
opera_contig_144	5349	opera_contig_162262	471577
opera_contig_144	33092	opera_contig_162263	438002
opera_contig_144	8922	opera_contig_162262	224304
opera_contig_144	7334	opera_contig_162263	431618
opera_contig_144	19014	opera_contig_162262	518647
opera_contig_144	19005	opera_contig_162265	187804
opera_contig_144	38321	opera_contig_162263	392636
opera_contig_144	12916	opera_contig_162262	276400
opera_contig_144	5104	opera_contig_162263	173196
opera_contig_144	32698	opera_contig_162262	596364
opera_contig_144	693	opera_contig_162264	105611
opera_contig_144	23386	opera_contig_162265	92878
opera_contig_144	17573	opera_contig_162264	282739
opera_contig_144	19724	opera_contig_162263	152117
opera_contig_144	32018	opera_contig_162269	18748
opera_contig_144	2842	opera_contig_162262	338943
opera_contig_144	452	opera_contig_162263	210861
opera_contig_144	1002	opera_contig_162264	3964
opera_contig_144	40706	opera_contig_162264	363545
opera_contig_144	33869	opera_contig_162263	185487
opera_contig_144	20637	opera_contig_162266	19809
opera_contig_144	22088	opera_contig_162265	53849
opera_contig_144	35663	opera_contig_162266	147513
opera_contig_144	8440	opera_contig_162267	1581
opera_contig_144	14061	opera_contig_162264	91086
opera_contig_144	16893	opera_contig_162264	304060
opera_contig_144	11622	opera_contig_162262	550094
opera_contig_144	24350	opera_contig_162262	523824
opera_contig_144	36972	opera_contig_159385	130221
opera_contig_144	12817	opera_contig_234	720
opera_contig_144	11577	opera_contig_162265	197947
opera_contig_144	12779	opera_contig_162265	209604
opera_contig_144	16356	opera_contig_162262	96064
opera_contig_144	40276	opera_contig_162270	44430
opera_contig_144	37179	opera_contig_162263	337410
opera_contig_144	23588	opera_contig_162265	105263
opera_contig_144	30182	opera_contig_162262	222262
opera_contig_144	29819	opera_contig_162262	243651
opera_contig_144	37606	opera_contig_162265	273612
opera_contig_144	21822	opera_contig_162268	86103
opera_contig_144	20637	opera_contig_159385	173457
opera_contig_144	15474	opera_contig_162268	30740
opera_contig_144	37886	opera_contig_162262	293429
opera_contig_144	26007	opera_contig_162262	546606
opera_contig_144	11746	opera_contig_162262	591829
opera_contig_144	15337	opera_contig_162264	269881
opera_contig_144	24082	opera_contig_162271	74050
opera_contig_144	13122	opera_contig_162262	369245
opera_contig_144	5074	opera_contig_239	4306
opera_contig_144	24749	opera_contig_162267	6936
opera_contig_144	32769	opera_contig_162264	210959
opera_contig_144	35777	opera_contig_239	31852
opera_contig_144	41744	opera_contig_162263	459986
opera_contig_144	6106	opera_contig_162266	126014
opera_contig_144	24680	opera_contig_162269	33966
opera_contig_144	12392	opera_contig_162262	134589
opera_contig_144	37873	opera_contig_162265	25060
opera_contig_144	4153	opera_contig_162262	213807
opera_contig_144	4132	opera_contig_162268	4609
opera_contig_144	4665	opera_contig_162262	115655
opera_contig_144	31257	opera_contig_162265	247222
opera_contig_144	4135	opera_contig_162262	349426
opera_contig_144	12414	opera_contig_162262	61870
opera_contig_144	2499	opera_contig_159385	159315
opera_contig_144	22503	opera_contig_162263	202765
opera_contig_144	21770	opera_contig_162262	478981
opera_contig_144	24585	opera_contig_162262	450421
opera_contig_144	18340	opera_contig_159385	42296
opera_contig_144	4069	opera_contig_162268	63879
opera_contig_144	31097	opera_contig_162265	179540
opera_contig_144	32218	opera_contig_162265	250121
opera_contig_144	16838	opera_contig_239	30291
opera_contig_144	14091	opera_contig_162263	213032
opera_contig_144	8034	opera_contig_162263	67848
opera_contig_144	21271	opera_contig_162262	633575
opera_contig_144	31082	opera_contig_162262	527153
opera_contig_144	3329	opera_contig_162264	3735
opera_contig_144	19869	opera_contig_162263	157809
opera_contig_144	9354	opera_contig_162265	83480
opera_contig_144	17257	opera_contig_162266	75332
opera_contig_144	37870	opera_contig_162264	350306
opera_contig_144	5869	opera_contig_162262	542000
opera_contig_144	8111	opera_contig_162265	51690
opera_contig_144	37774	opera_contig_162262	594253
opera_contig_144	8297	opera_contig_162266	183725
opera_contig_144	22920	opera_contig_162263	325942
opera_contig_144	39674	opera_contig_162262	305712
opera_contig_144	6150	opera_contig_162269	90881
opera_contig_144	33565	opera_contig_162266	145885
opera_contig_144	30176	opera_contig_159385	176809
opera_contig_144	2983	opera_contig_162265	179369
opera_contig_144	13005	opera_contig_162266	159542
opera_contig_144	33209	opera_contig_162263	406257
opera_contig_144	8949	opera_contig_162270	7076
opera_contig_144	16334	opera_contig_162262	323048
opera_contig_144	8709	opera_contig_162262	641889
opera_contig_144	34217	opera_contig_159385	41499
opera_contig_144	34904	opera_contig_162268	33358
opera_contig_144	19014	opera_contig_234	31070
opera_contig_144	11781	opera_contig_162269	56408
